"publication_id","publication_code","study_id","group_description","between_id","observation_id","dataset_id","subject","block","trial","condition_id","congruency","accuracy","rt"
5,"pratte_2010_exploring",26,"University students (US)",26,712651,30,4694,2,25,36,2,1,1.60504
5,"pratte_2010_exploring",26,"University students (US)",26,712652,30,4694,2,26,36,2,1,1.074369
5,"pratte_2010_exploring",26,"University students (US)",26,712654,30,4694,2,28,36,2,1,0.874191
5,"pratte_2010_exploring",26,"University students (US)",26,712655,30,4694,2,29,36,2,1,1.049391
5,"pratte_2010_exploring",26,"University students (US)",26,712656,30,4694,2,30,36,2,1,1.314047
5,"pratte_2010_exploring",26,"University students (US)",26,712657,30,4694,2,31,36,1,1,1.042342
5,"pratte_2010_exploring",26,"University students (US)",26,712658,30,4694,2,32,36,1,1,0.948652
5,"pratte_2010_exploring",26,"University students (US)",26,712661,30,4694,2,35,36,1,1,0.698236
5,"pratte_2010_exploring",26,"University students (US)",26,712662,30,4694,2,36,36,2,1,1.282918
5,"pratte_2010_exploring",26,"University students (US)",26,712663,30,4694,2,37,36,2,1,0.946449
5,"pratte_2010_exploring",26,"University students (US)",26,712665,30,4694,2,39,36,1,1,2.006751
5,"pratte_2010_exploring",26,"University students (US)",26,712666,30,4694,2,40,36,1,1,1.017385
5,"pratte_2010_exploring",26,"University students (US)",26,712667,30,4694,2,41,36,1,1,0.674327
5,"pratte_2010_exploring",26,"University students (US)",26,712669,30,4694,2,43,36,1,1,0.719571
5,"pratte_2010_exploring",26,"University students (US)",26,712670,30,4694,2,44,36,1,1,0.836642
5,"pratte_2010_exploring",26,"University students (US)",26,712671,30,4694,2,45,36,2,1,0.986433
5,"pratte_2010_exploring",26,"University students (US)",26,712672,30,4694,2,46,36,1,1,0.768878
5,"pratte_2010_exploring",26,"University students (US)",26,712674,30,4694,2,48,36,2,1,1.02532
5,"pratte_2010_exploring",26,"University students (US)",26,712675,30,4694,2,49,36,1,1,0.570597
5,"pratte_2010_exploring",26,"University students (US)",26,712677,30,4694,2,51,36,2,1,1.069366
5,"pratte_2010_exploring",26,"University students (US)",26,712679,30,4694,2,53,36,2,1,0.775024
5,"pratte_2010_exploring",26,"University students (US)",26,712680,30,4694,2,54,36,2,1,1.184273
5,"pratte_2010_exploring",26,"University students (US)",26,712681,30,4694,2,55,36,1,1,0.653467
5,"pratte_2010_exploring",26,"University students (US)",26,712682,30,4694,2,56,36,1,1,0.814432
5,"pratte_2010_exploring",26,"University students (US)",26,712683,30,4694,2,57,36,2,1,1.355527
5,"pratte_2010_exploring",26,"University students (US)",26,712684,30,4694,2,58,36,2,1,2.104345
5,"pratte_2010_exploring",26,"University students (US)",26,712686,30,4694,2,60,36,2,1,1.075599
5,"pratte_2010_exploring",26,"University students (US)",26,712687,30,4694,2,61,36,1,1,0.977145
5,"pratte_2010_exploring",26,"University students (US)",26,712689,30,4694,2,63,36,1,1,0.46928
5,"pratte_2010_exploring",26,"University students (US)",26,712690,30,4694,2,64,36,1,1,0.611197
5,"pratte_2010_exploring",26,"University students (US)",26,712694,30,4694,2,68,36,1,1,0.705868
5,"pratte_2010_exploring",26,"University students (US)",26,712695,30,4694,2,69,36,2,1,0.946339
5,"pratte_2010_exploring",26,"University students (US)",26,712696,30,4694,2,70,36,1,1,0.623069
5,"pratte_2010_exploring",26,"University students (US)",26,712697,30,4694,2,71,36,1,1,0.694334
5,"pratte_2010_exploring",26,"University students (US)",26,712703,30,4694,3,5,36,2,1,0.680547
5,"pratte_2010_exploring",26,"University students (US)",26,712705,30,4694,3,7,36,2,1,0.929118
5,"pratte_2010_exploring",26,"University students (US)",26,712708,30,4694,3,10,36,2,1,1.469481
5,"pratte_2010_exploring",26,"University students (US)",26,712709,30,4694,3,11,36,2,1,1.172309
5,"pratte_2010_exploring",26,"University students (US)",26,712710,30,4694,3,12,36,1,1,0.938092
5,"pratte_2010_exploring",26,"University students (US)",26,712712,30,4694,3,14,36,1,1,0.822621
5,"pratte_2010_exploring",26,"University students (US)",26,712714,30,4694,3,16,36,1,1,0.638157
5,"pratte_2010_exploring",26,"University students (US)",26,712717,30,4694,3,19,36,2,1,0.974943
5,"pratte_2010_exploring",26,"University students (US)",26,712718,30,4694,3,20,36,2,1,0.976147
5,"pratte_2010_exploring",26,"University students (US)",26,712719,30,4694,3,21,36,1,1,0.736508
5,"pratte_2010_exploring",26,"University students (US)",26,712721,30,4694,3,23,36,2,1,0.698863
5,"pratte_2010_exploring",26,"University students (US)",26,712722,30,4694,3,24,36,2,1,0.905823
5,"pratte_2010_exploring",26,"University students (US)",26,712723,30,4694,3,25,36,1,1,0.625835
5,"pratte_2010_exploring",26,"University students (US)",26,712724,30,4694,3,26,36,2,1,0.985518
5,"pratte_2010_exploring",26,"University students (US)",26,712726,30,4694,3,28,36,2,1,0.71967
5,"pratte_2010_exploring",26,"University students (US)",26,712727,30,4694,3,29,36,2,1,1.704855
5,"pratte_2010_exploring",26,"University students (US)",26,712729,30,4694,3,31,36,2,1,0.890422
5,"pratte_2010_exploring",26,"University students (US)",26,712730,30,4694,3,32,36,1,1,0.749751
5,"pratte_2010_exploring",26,"University students (US)",26,712731,30,4694,3,33,36,1,1,0.789491
5,"pratte_2010_exploring",26,"University students (US)",26,712733,30,4694,3,35,36,1,1,1.106649
5,"pratte_2010_exploring",26,"University students (US)",26,712736,30,4694,3,38,36,1,1,1.673678
5,"pratte_2010_exploring",26,"University students (US)",26,712737,30,4694,3,39,36,1,1,1.497217
5,"pratte_2010_exploring",26,"University students (US)",26,712738,30,4694,3,40,36,1,1,2.664483
5,"pratte_2010_exploring",26,"University students (US)",26,712739,30,4694,3,41,36,1,1,1.74409
5,"pratte_2010_exploring",26,"University students (US)",26,712742,30,4694,3,44,36,2,1,1.26904
5,"pratte_2010_exploring",26,"University students (US)",26,712744,30,4694,3,46,36,1,1,0.857801
5,"pratte_2010_exploring",26,"University students (US)",26,712747,30,4694,3,49,36,1,1,0.70286
5,"pratte_2010_exploring",26,"University students (US)",26,712748,30,4694,3,50,36,2,1,1.24313
5,"pratte_2010_exploring",26,"University students (US)",26,712749,30,4694,3,51,36,2,1,1.562127
5,"pratte_2010_exploring",26,"University students (US)",26,712750,30,4694,3,52,36,2,1,0.888391
5,"pratte_2010_exploring",26,"University students (US)",26,712752,30,4694,3,54,36,1,1,0.680062
5,"pratte_2010_exploring",26,"University students (US)",26,712753,30,4694,3,55,36,1,1,0.811151
5,"pratte_2010_exploring",26,"University students (US)",26,712756,30,4694,3,58,36,2,1,1.694872
5,"pratte_2010_exploring",26,"University students (US)",26,712757,30,4694,3,59,36,1,1,0.883436
5,"pratte_2010_exploring",26,"University students (US)",26,712758,30,4694,3,60,36,2,1,0.80467
5,"pratte_2010_exploring",26,"University students (US)",26,712760,30,4694,3,62,36,1,1,1.635813
